ID,SMILES,DATASET,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,ACID_ATOMS,AROM_ATOMS,BASIC_ATOMS,BROMINE,CHLORINE,FLUORINE,IODINE,NITROGEN,OXYGEN,FRACROTBOND,CHIRALCENTERS,HALOGEN
DIMTRI952023,S(SC)SC,QuimfraganDB,3,0,2.2756,0.0,126.271,1.0,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
ETH952023,O=C(OCC)CCCCCCC,QuimfraganDB,2,0,2.9100001,26.299999,172.26801,0.89999998,12,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.72727275,0,0
ISO952023,O(C)c1c(C(C)C)nccn1,QuimfraganDB,3,0,1.6086,35.009998,152.19701,0.5,11,1,3,2,0,0,0,1,1,0,6,0,0,0,0,0,2,1,0.18181819,0,0
ACET952023,O=C(O)C,QuimfraganDB,1,1,0.090899996,37.299999,60.051998,0.5,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0
MET952023,S(CCC=O)C,QuimfraganDB,2,0,0.93839997,17.07,104.174,0.75,6,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.60000002,0,0
NONE952023,O=CC=CCCCCCC,QuimfraganDB,1,0,2.7119,17.07,140.226,0.66666669,10,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.66666669,0,0
ISOBUT952023,O=C(O)C(C)C,QuimfraganDB,1,1,0.727,37.299999,88.106003,0.75,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0
NONTRA952023,O=CC=CCCC=CCC,QuimfraganDB,1,0,2.4879,17.07,138.21001,0.44444445,10,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.55555558,0,0
PHEACET952023,O=CCc1ccccc1,QuimfraganDB,1,0,1.428,17.07,120.151,0.125,9,1,1,2,0,0,1,0,1,0,6,0,0,0,0,0,0,1,0.22222222,0,0
ION952023,O=C(C=CC=1C(C)(C)CCCC=1C)C,QuimfraganDB,1,0,3.6582,17.07,192.302,0.61538464,14,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14285715,0,0
EPOX952023,O=C/C=C/[C@]1[C@](CCCCC)O1,QuimfraganDB,2,0,2.0892,29.6,168.23599,0.69999999,12,1,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.5,2,0
NONLAC952023,O=C1OC(CCCCC)CC1,QuimfraganDB,2,0,2.2723,26.299999,156.22501,0.8888889,11,1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.36363637,1,0
SOT952023,Oc1c(C)c(C)oc1O,QuimfraganDB,3,2,1.30764,53.599998,128.127,0.33333334,9,1,3,0,0,0,0,1,1,0,5,0,0,0,0,0,0,3,0.0,0,0
PHE952023,O=C(O)Cc1ccccc1,QuimfraganDB,1,1,1.3137,37.299999,136.14999,0.125,10,1,2,2,0,0,1,0,1,0,6,0,0,0,0,0,0,2,0.2,0,0
VAN952023,O=Cc1cc(OC)c(O)cc1,QuimfraganDB,3,1,1.2133,46.529999,152.149,0.125,11,1,3,2,0,0,1,0,1,0,6,0,0,0,0,0,0,3,0.18181819,0,0
